price_eur_pm,barrio_encoded,distrito,latitude,longitude,adaptado_movilidad_reducida,aire_acondicionado,antiguedad,armarios_empotrados,ascensor,balcon,banos,calefaccion,chimenea,cocina_equipada,conservacion,exterior,garaje,habitaciones,jardin,piscina,puerta_blindada,sistema_seguridad,superficie_construida,terraza,trastero,vidrios_dobles,planta_numerica,acepta_mascotas,amueblado_True,amueblado_nan,cluster,cluster_label
1100.0,1196.5,Latina,40.4083562,-3.7346193,0.0,0.0,0.7079721132021378,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,61.0,1.0,0.0,0.0,2.4865708656834395,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
1695.0,1663.5714285714287,Hortaleza,40.4708981,-3.6354396,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.403197208374221,0.0,1.0,3.0,0.0,0.0,1.0,0.0,131.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,4,Apartamento Premium (Ubicación Prime)
1600.0,3353.04,Centro,40.4243533,-3.6967221,0.0,0.0,0.7684550313257458,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.2775035632294,0.0,0.0,2.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
2495.0,3791.6666666666665,Chamartín,40.4483,-3.67819,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.4287960692392079,0.0,0.0,3.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
1364.0,1799.75,Arganzuela,40.3968933,-3.6795895,0.0,0.0,3.9312272992395014,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,0.0,1.0,0.0,1.7468148442296543,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
1200.0,3480.1075268817203,Chamberí,40.434848,-3.6930375,0.0,0.0,1.2030877378571527,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
1200.0,1422.5,Fuencarral-El Pardo,40.4784458,-3.7191302,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Piso Básico y Económico
3290.0,2293.733333333333,Retiro,40.4204069,-3.674611,0.0,1.0,0.35210773436281506,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0,0.0,7.0,1.0,1.0,0.0,0,Residencial Familiar con Extras
3000.0,3843.846153846154,Salamanca,40.4351607,-3.6836548,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,110.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1,Piso Básico y Económico
1650.0,1718.409090909091,Arganzuela,40.4045019,-3.7174026,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,88.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
1500.0,1633.2222222222222,San Blas,40.4381495,-3.6219488,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,97.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1,Piso Básico y Económico
1250.0,1196.5,Latina,40.4059541,-3.7368253,0.0,0.0,0.5847891930950396,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.2121578464037333,0.0,0.0,3.0,0.0,0.0,0.0,0.0,71.0,1.0,0.0,0.0,2.6004154731828995,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
1500.0,2258.3333333333335,Fuencarral-El Pardo,40.497268067,-3.712439862,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.3651868842359516,0.0,1.0,1.0,0.0,0.0,0.0,0.0,83.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
3280.0,2844.871794871795,Chamberí,40.4314729,-3.7043593,0.0,1.0,0.21086288290966182,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,90.0,1.0,0.0,0.0,7.0,1.0,1.0,0.0,0,Residencial Familiar con Extras
5400.0,3220.234693877551,Centro,40.4212197,-3.7104106,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,240.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1,Piso Básico y Económico
1400.0,1308.4,Tetuán,40.4627642,-3.6996011,0.0,1.0,1.4087584936561237,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.5817565240712912,0.0,0.0,1.0,0.0,0.0,1.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
1800.0,2425.0,Retiro,40.4171365,-3.6664907,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.5984951158131937,0.0,0.0,2.0,1.0,0.0,1.0,0.0,105.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
3800.0,2844.871794871795,Chamberí,40.4355122,-3.6987583,0.0,1.0,0.6885531987361909,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0,Residencial Familiar con Extras
1535.0,1454.7142857142858,Vicálvaro,40.3960878,-3.5460021,0.0,0.0,3.5806671112315094,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,94.0,1.0,1.0,0.0,3.0168069746996675,0.0,0.0,1.0,4,Apartamento Premium (Ubicación Prime)
