price_eur,barrio,distrito,lat,lon,energy_consumption_rating,energy_consumption_value,energy_emissions_rating,energy_emissions_value,adaptado a personas con movilidad reducida,aire acondicionado,amueblado,antigüedad,ascensor,balcón,baños,calefacción,chimenea,conservación,exterior,garaje,habitaciones,jardín,piscina,planta,portero automático,puerta blindada,sistema de seguridad,superficie construida,superficie útil,terraza,trastero,vidrios dobles,tipo_inmueble,tipo_operacion,rent_eur_per_month,listing_type,cocina equipada,referencia
9500000.0,Recoletos,Salamanca,40.4221164,-3.6831486,False,,False,,0.0,True,True,,False,1.0,5,True,False,A estrenar,False,False,4.0,False,False,1.0,Portero físico,False,False,499.0,499.0,False,False,False,Otro,venta,,,,
840000.0,Universidad-Malasaña,Centro,40.422312,-3.706137,False,,False,,0.0,False,True,Más de 50 años,False,1.0,2,True,False,En buen estado,False,False,4.0,False,False,2.0,True,False,False,109.0,95.0,False,False,False,Piso,venta,,,,
3600000.0,Goya,Salamanca,40.4243638,-3.6705767,False,,False,,0.0,True,True,Más de 50 años,False,1.0,5,True,False,Reformado,False,False,5.0,False,False,3.0,True,True,False,379.0,379.0,False,False,False,Casa,venta,,,,
285000.0,Opañel,Carabanchel,40.3891,-3.7199,E,151 kWh/m² año,D,31 Kg CO₂/m² año,0.0,False,True,Entre 20 y 30 años,False,False,1,False,False,En buen estado,False,False,2.0,False,False,0.0,False,False,False,60.0,60.0,False,False,False,Piso,venta,,,,
539000.0,Rejas,San Blas,40.4420421,-3.5759197,E,152 kWh/m² año,D,30 Kg CO₂/m² año,1.0,True,True,Entre 20 y 30 años,False,False,2,True,False,Reformado,False,True,3.0,True,True,2.0,True,True,False,127.0,101.0,False,True,False,Piso,venta,,,,
960000.0,Lista,Salamanca,40.4295857,-3.6735977,E,30 kWh/m² año,E,45 Kg CO₂/m² año,1.0,True,True,Más de 50 años,False,False,2,True,False,En buen estado,False,False,4.0,False,False,3.0,True,True,False,114.0,101.0,False,False,False,Otro,venta,,,,
860000.0,Guindalera,Salamanca,40.4390839,-3.6613366,False,,False,,1.0,False,True,Más de 50 años,False,False,2,True,False,A reformar,False,False,5.0,False,False,1.0,Fisico,False,False,168.0,145.0,False,False,False,Piso,venta,,,,
950000.0,Embajadores-Lavapiés,Centro,40.4129747,-3.7059398,False,,False,,0.0,True,True,,False,False,2,True,False,En buen estado,False,False,4.0,False,False,1.0,False,True,False,192.0,179.0,False,False,False,Casa,venta,,,,
350000.0,Lucero,Latina,40.4025977,-3.7530822,C,100 kWh/m² año,D,220 Kg CO₂/m² año,0.0,False,True,Entre 30 y 50 años,False,False,2,False,False,En buen estado,False,False,4.0,False,False,0.0,False,False,False,105.0,105.0,False,False,False,Piso,venta,,,,
1459000.0,Goya,Salamanca,40.4241,-3.67855,D,300 kWh/m² año,D,300 Kg CO₂/m² año,0.0,False,True,Más de 50 años,False,False,2,False,False,En buen estado,False,False,2.0,False,False,5.0,False,False,False,97.0,97.0,False,False,False,Piso,venta,,,,
3650000.0,Recoletos,Salamanca,40.4226281,-3.6831171,False,,False,,1.0,True,True,Entre 30 y 50 años,False,False,5,True,True,A reformar,True,True,14.0,True,True,6.0,True,True,False,342.0,290.0,False,False,False,Otro,venta,,,,
2800000.0,El Plantío,Moncloa-Aravaca,40.4767,-3.82927,False,,False,,0.0,False,True,Entre 20 y 30 años,False,False,5,True,False,En buen estado,False,True,6.0,True,True,0.0,False,True,False,700.0,700.0,False,False,False,Casa,venta,,,,
365000.0,Castellana,Salamanca,40.4277347,-3.685881,E,219 kWh/m² año,E,37 Kg CO₂/m² año,0.0,True,True,Entre 20 y 30 años,False,False,1,False,False,Reformado,False,False,1.0,False,False,2.0,False,False,False,30.0,26.0,False,False,False,Otro,venta,,,,
320000.0,Las Águilas,Latina,40.377671,-3.7731945,False,,False,,0.0,False,True,Entre 20 y 30 años,False,False,2,True,False,En buen estado,False,True,4.0,False,False,1.0,False,True,False,114.0,90.0,False,False,False,Piso,venta,,,,
455000.0,Lista,Salamanca,40.4318763,-3.6736524,False,,False,,0.0,False,True,Entre 20 y 30 años,False,False,1,False,False,Reformado,False,False,2.0,False,False,4.0,False,False,False,47.0,41.0,False,False,False,Piso,venta,,,,
883000.0,Palacio,Centro,40.4118684,-3.7176348,A,24 kWh/m² año,A,4 Kg CO₂/m² año,0.0,False,True,,False,False,2,False,False,A estrenar,False,False,2.0,False,False,0.0,False,False,False,90.0,90.0,False,False,False,Otro,venta,,,,
410900.0,El Cañaveral,Vicálvaro,40.411542,-3.5447233,False,,False,,0.0,False,True,,False,False,2,False,False,A estrenar,False,False,2.0,False,False,0.0,False,False,False,83.0,83.0,False,False,False,Piso,venta,,,,
1499000.0,Lista,Salamanca,40.4334893,-3.6773472,C,124 kWh/m² año,D,24 Kg CO₂/m² año,0.0,False,True,Más de 50 años,False,False,4,False,False,En buen estado,False,False,3.0,False,False,6.0,True,False,False,151.0,151.0,False,False,False,Piso,venta,,,,
560000.0,Guindalera,Salamanca,40.434233,-3.6672526,False,,False,,1.0,True,True,Más de 50 años,False,False,1,True,False,En buen estado,False,False,3.0,False,False,6.0,Fisico,False,False,85.0,70.0,True,False,False,Piso,venta,,,,
650000.0,Guindalera,Salamanca,40.432476,-3.6713348,False,,False,,1.0,True,True,Más de 50 años,False,False,1,True,False,En buen estado,False,False,3.0,False,False,0.0,True,True,False,235.0,197.0,False,False,False,Piso,venta,,,,
680000.0,Guindalera,Salamanca,40.4322264,-3.6718874,False,,False,,1.0,True,True,Más de 50 años,False,False,2,True,False,A reformar,True,False,3.0,False,False,0.0,True,True,False,237.0,198.0,False,False,False,Piso,venta,,,,
1600000.0,Justicia-Chueca,Centro,40.4250336,-3.7003128,False,,False,,0.0,False,True,,False,1.0,3,True,True,En buen estado,False,False,5.0,False,False,2.0,False,False,False,189.0,165.0,False,False,False,Otro,venta,,,,
1500000.0,Hispanoamérica,Chamartín,40.4577187,-3.677719,False,,False,,0.0,True,True,Más de 50 años,False,False,3,False,False,En buen estado,False,True,5.0,False,False,0.0,False,False,False,223.0,194.0,False,False,False,Piso,venta,,,,
285000.0,Pradolongo,Usera,40.3853124,-3.7051713,False,,False,,0.0,False,True,Más de 50 años,False,1.0,1,False,False,En buen estado,False,False,3.0,False,False,1.0,False,False,False,71.0,68.0,False,False,False,Piso,venta,,,,
1490000.0,San Juan Bautista,Ciudad Lineal,40.4530873,-3.6534121,False,,False,,0.0,False,True,Menos de 5 años,False,False,2,False,False,En buen estado,False,True,3.0,False,True,4.0,False,False,False,160.0,160.0,False,False,False,Otro,venta,,,,
