price_eur,barrio,distrito,lat,lon,energy_consumption_rating,energy_consumption_value,energy_emissions_rating,energy_emissions_value,adaptado a personas con movilidad reducida,aire acondicionado,amueblado,antigüedad,ascensor,balcón,baños,calefacción,chimenea,conservación,exterior,garaje,habitaciones,jardín,piscina,planta,portero automático,puerta blindada,sistema de seguridad,superficie construida,superficie útil,terraza,trastero,vidrios dobles,tipo_inmueble
462840.0,Vallehermoso,Chamberí,40.4463,-3.70721,C,83 kWh/m² año,C,14 Kg CO₂/m² año,1.0,False,True,Desconocida,False,False,2,False,False,En buen estado,False,False,1.0,False,False,0.0,False,False,False,63.0,46.0,False,False,False,Otro
930000.0,Costillares,Ciudad Lineal,40.4833397,-3.6685473,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,A estrenar,False,False,2.0,False,False,7.0,False,False,False,123.0,123.0,False,False,False,Otro
470000.0,Valverde,Fuencarral-El Pardo,40.3627916,-3.7529793,E,122 kWh/m² año,E,89 Kg CO₂/m² año,0.0,False,True,Más de 50 años,False,False,2,False,False,En buen estado,False,False,4.0,False,False,3.0,False,False,False,130.0,130.0,False,False,False,Casa
4300000.0,El Viso,Chamartín,40.4423842,-3.6901673,False,,False,,0.0,False,True,Desconocida,False,False,5,False,False,En buen estado,False,False,5.0,False,True,0.0,False,False,False,500.0,500.0,False,False,False,Piso
599000.0,Canillas,Hortaleza,40.4599634,-3.6499249,E,258 kWh/m² año,E,54 Kg CO₂/m² año,0.0,False,True,Más de 50 años,False,False,3,False,False,En buen estado,False,False,4.0,False,False,0.0,False,False,False,150.0,150.0,False,False,False,Casa
150000.0,San Fermín,Usera,40.3690179,-3.69085,False,,False,,0.0,False,True,Entre 30 y 50 años,False,False,1,False,False,En buen estado,False,False,3.0,False,False,1.0,False,False,False,90.0,70.0,False,False,False,Otro
325000.0,Piovera,Hortaleza,40.458443,-3.6271186,E,182 kWh/m² año,D,31 Kg CO₂/m² año,0.0,True,True,Entre 20 y 30 años,False,False,1,False,False,En buen estado,False,True,1.0,True,True,2.0,False,True,False,40.0,30.0,False,False,False,Otro
155000.0,Entrevías,Puente de Vallecas,40.4556575,-3.7780406,False,,False,,1.0,True,True,Entre 5 y 10 años,False,False,1,True,False,En buen estado,False,False,1.0,False,False,0.0,False,False,False,45.0,45.0,False,False,False,Otro
1476000.0,Peñagrande,Fuencarral-El Pardo,40.4825061,-3.7291228,E,259 kWh/m² año,E,66 Kg CO₂/m² año,0.0,False,True,Entre 20 y 30 años,False,False,7,True,True,En buen estado,False,True,7.0,False,True,0.0,False,False,False,540.0,530.0,False,False,False,Casa
235000.0,Entrevías,Puente de Vallecas,40.381763,-3.6726744,False,,False,,0.0,False,True,Entre 20 y 30 años,False,False,2,False,False,En buen estado,False,False,3.0,False,False,0.0,False,False,False,94.0,94.0,False,False,False,Casa
