price_eur,barrio,distrito,lat,lon,listing_type,energy_consumption_rating,energy_emissions_rating,adaptado a personas con movilidad reducida,aire acondicionado,amueblado,antigüedad,ascensor,balcón,baños,calefacción,chimenea,cocina equipada,conservación,exterior,garaje,habitaciones,jardín,piscina,planta,portero automático,puerta blindada,referencia,sistema de seguridad,superficie construida,superficie útil,terraza,trastero,vidrios dobles,tipo_inmueble
3290.0,Niño Jesús,Retiro,40.4204069,-3.674611,rental,E,E,0.0,False,Si,,False,False,2,False,False,True,En buen estado,False,False,3.0,False,False,7.0,False,False,TEATRO,False,80.0,80.0,False,False,False,Casa
3000.0,Castellana,Salamanca,40.4351607,-3.6836548,rental,False,False,1.0,True,No,Entre 30 y 50 años,False,1.0,2,True,False,Equipada e independiente.,En buen estado,True,False,2.0,False,False,3.0,True,Acorazada.,426573,False,110.0,110.0,False,False,False,Otro
1650.0,Imperial,Arganzuela,40.4045019,-3.7174026,rental,False,False,0.0,True,Si,Entre 20 y 30 años,False,False,2,False,False,True,Reformado,False,False,2.0,True,False,1.0,True,False,000057,False,88.0,84.0,False,False,False,Piso
1500.0,Simancas,San Blas,40.4381495,-3.6219488,rental,False,False,1.0,True,No,Entre 20 y 30 años,False,False,2,True,False,Cocina amueblada,En buen estado,False,True,2.0,True,True,3.0,False,True,SIM12253040,False,97.0,76.0,False,False,False,Piso
1250.0,Puerta del Ángel,Latina,40.4059541,-3.7368253,rental,False,False,0.0,False,No,,False,False,1,True,False,False,En buen estado,False,False,3.0,False,False,0.0,False,False,RP1212025138136,False,71.0,60.0,False,False,False,Piso
1500.0,Mirasierra-Arroyo del Fresno,Fuencarral-El Pardo,40.497268067,-3.712439862,rental,C,C,0.0,False,Si,Entre 20 y 30 años,False,False,1,True,False,False,En buen estado,False,True,1.0,False,False,5.0,False,False,137,False,83.0,83.0,False,False,False,Piso
3280.0,Trafalgar,Chamberí,40.4314729,-3.7043593,rental,E,E,0.0,False,Si,,False,False,2,False,False,True,En buen estado,False,False,3.0,False,False,7.0,False,False,CASORIA,False,90.0,90.0,False,False,False,Casa
5400.0,Palacio,Centro,40.4212197,-3.7104106,rental,False,False,0.0,True,No,Más de 50 años,False,1.0,3,True,False,True,Reformado,False,False,3.0,False,False,2.0,True,True,3851-VC,False,240.0,232.0,False,False,False,Otro
1400.0,Valdeacederas,Tetuán,40.4627642,-3.6996011,rental,False,False,0.0,False,Si,,False,False,1,True,False,False,En buen estado,False,False,1.0,False,False,0.0,False,True,EDPA2275/11274,False,60.0,60.0,False,False,False,Otro
1800.0,Estrella,Retiro,40.4171365,-3.6664907,rental,False,False,0.0,False,Si,Entre 30 y 50 años,False,1.0,2,True,False,False,En buen estado,False,False,2.0,False,False,4.0,False,True,CM-30111/8383,False,105.0,105.0,False,False,False,Piso
3800.0,Trafalgar,Chamberí,40.4355122,-3.6987583,rental,False,False,0.0,True,Si,,False,False,2,False,False,Cocina amueblada,En buen estado,False,False,2.0,False,False,2.0,False,False,ALQDASE,False,73.0,67.0,False,False,False,Piso
1535.0,El Cañaveral,Vicálvaro,40.3960878,-3.5460021,rental,False,False,0.0,False,No,,False,False,2,False,False,False,A estrenar,False,False,4.0,False,False,0.0,False,False,21493397,False,94.0,94.0,False,False,False,Otro
10000.0,Palacio,Centro,40.4193404,-3.7092532,rental,False,False,0.0,False,No,Más de 50 años,False,False,4,False,False,False,En buen estado,False,False,3.0,False,False,4.0,False,False,ALQDACMP12,False,205.0,192.0,False,False,False,Piso
3700.0,Almagro,Chamberí,40.4296441,-3.692069,rental,False,False,0.0,True,Si,Más de 50 años,False,False,2,False,False,Cocina americana,En buen estado,False,False,2.0,False,False,1.0,False,False,ALQNZEAMC9,False,117.0,105.0,False,False,False,Piso
1250.0,Chopera,Arganzuela,40.3988197,-3.6997674,rental,False,False,0.0,False,No,Entre 30 y 50 años,False,False,1,True,False,False,En buen estado,False,False,2.0,False,False,1.0,False,False,618700,False,66.0,66.0,False,False,False,Piso
2900.0,Jerónimos,Retiro,40.4128918,-3.6910198,rental,False,False,1.0,True,Si,Más de 50 años,False,False,2,False,False,Cocina amueblada,En buen estado,False,False,1.0,False,False,0.0,False,False,ALQDAESP,False,81.0,74.0,False,False,False,Piso
4100.0,Castellana,Salamanca,40.4295312,-3.6858068,rental,False,False,0.0,True,Si,Más de 50 años,False,False,2,True,False,True,Reformado,False,False,2.0,True,False,3.0,True,True,612-LH,False,101.0,90.0,False,False,False,Piso
1100.0,Arapiles,Chamberí,40.4361902,-3.705911,rental,F,E,0.0,False,No,Más de 50 años,False,False,1,False,False,True,En buen estado,False,False,1.0,False,False,2.0,False,False,613412,False,29.0,29.0,False,False,False,Piso
3800.0,El Viso,Chamartín,40.4425282,-3.6804913,rental,False,False,0.0,True,No,Más de 50 años,False,False,3,False,False,Cocina amueblada,En buen estado,False,False,3.0,False,False,5.0,False,False,ALQDAVS9,False,131.0,111.0,False,False,False,Piso
1400.0,Cuatro Caminos,Tetuán,40.45148,-3.7011468,rental,False,False,0.0,True,Si,Menos de 5 años,False,False,1,True,False,Completamente equipada,Reformado,False,False,1.0,False,False,3.0,False,False,4100-AM,False,40.0,37.0,False,False,False,Otro
3400.0,Palacio,Centro,40.4220254,-3.7110628,rental,False,False,0.0,True,Si,Menos de 5 años,False,1.0,2,True,False,Completamente equipada,A estrenar,False,False,2.0,False,False,2.0,False,False,1536 AM,False,99.0,89.0,False,False,False,Piso
1950.0,Almenara,Tetuán,40.4671631,-3.6969866,rental,False,False,0.0,True,Si,,False,False,1,True,False,Completamente equipada integrada al salón,Reformado,False,False,2.0,False,False,0.0,False,False,4173-AM,False,70.0,65.0,False,False,False,Otro
11500.0,Justicia-Chueca,Centro,40.4215477,-3.6955498,rental,False,False,0.0,False,Si,,False,False,4,False,False,True,Reformado,False,True,3.0,False,False,3.0,False,False,3988,False,248.0,192.0,False,False,False,Casa
1925.0,Almenara,Tetuán,40.4726347,-3.6929506,rental,False,False,0.0,True,Si,Entre 10 y 20 años,False,False,1,True,False,Completamente equipada,Reformado,False,False,1.0,False,False,2.0,False,False,412-AM,False,45.0,39.0,False,False,False,Otro
850.0,Imperial,Arganzuela,40.4128092,-3.7190174,rental,False,False,0.0,False,No,Más de 50 años,False,False,1,False,False,False,En buen estado,False,False,1.0,False,False,4.0,False,False,581237,False,30.0,30.0,False,False,False,Piso
1600.0,Aravaca,Moncloa-Aravaca,40.4580726,-3.7841844,rental,False,False,0.0,True,No,,False,False,2,False,False,Cocina amueblada,En buen estado,False,True,2.0,False,False,2.0,False,False,JAPL25-08,False,90.0,80.0,False,False,False,Piso
2100.0,Lista,Salamanca,40.4355483,-3.6761959,rental,False,False,0.0,True,Si,Más de 50 años,False,False,1,True,False,True,Reformado,False,False,1.0,False,False,5.0,True,False,1202-JG,False,65.0,62.0,False,False,False,Otro
2000.0,Opañel,Carabanchel,40.3880219,-3.7212484,rental,False,False,0.0,True,Si,Entre 30 y 50 años,False,False,2,True,False,True,En buen estado,False,False,4.0,False,False,3.0,False,False,135202182529,False,128.0,103.0,False,False,False,Piso
1850.0,San Pascual,Ciudad Lineal,40.4422679,-3.6533347,rental,False,False,0.0,False,No,Entre 30 y 50 años,False,False,2,True,False,True,En buen estado,False,True,3.0,True,False,6.0,False,False,616177,False,115.0,115.0,False,False,False,Casa
2700.0,Universidad-Malasaña,Centro,40.4293185,-3.7053039,rental,False,False,0.0,True,Si,Más de 50 años,False,False,1,False,False,Cocina amueblada,En buen estado,False,False,2.0,False,False,5.0,False,False,ALQDAGRJ,False,92.0,84.0,False,False,False,Piso
