price_eur,barrio_encoded,distrito,latitude,longitude,adaptado_movilidad_reducida,aire_acondicionado,antiguedad,armarios_empotrados,ascensor,balcon,banos,calefaccion,chimenea,cocina_equipada,conservacion,exterior,garaje,habitaciones,jardin,piscina,puerta_blindada,sistema_seguridad,superficie_construida,terraza,trastero,vidrios_dobles,planta_numerica,amueblado_False,amueblado_True,amueblado_nan,cluster,cluster_label
650000.0,816906.25,Salamanca,40.432476,-3.6713348,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,235.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,Piso Señorial Clásico
680000.0,816906.25,Salamanca,40.4322264,-3.6718874,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,237.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,Piso Señorial Clásico
1600000.0,1650219.5579710144,Centro,40.4250336,-3.7003128,0.0,0.0,0.0538083347440077,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,189.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0,Piso Señorial Clásico
1500000.0,1464407.4074074074,Chamartín,40.4577187,-3.677719,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,223.0,1.0,0.0,0.0,3.980067249918811,0.0,0.0,1.0,0,Piso Señorial Clásico
285000.0,234022.5,Usera,40.3853124,-3.7051713,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,71.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,Apartamento Estándar
1490000.0,915000.0,Ciudad Lineal,40.4530873,-3.6534121,0.0,1.0,5.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.5071867153018572,0.0,1.0,3.0,0.0,1.0,0.0,0.0,160.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,3,Lujo Moderno (Full Equip)
1930000.0,2686057.5757575757,Moncloa-Aravaca,40.4606482,-3.7804163,0.0,0.0,1.1475791479936066,0.0,1.0,0.0,3.837287882677218,0.0,0.0,0.0,3.0,0.0,1.0,3.5629290076740174,0.0,0.0,0.0,0.0,319.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3,Lujo Moderno (Full Equip)
400000.0,247120.9090909091,Carabanchel,40.3783691,-3.7536163,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,94.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,1,Apartamento Estándar
460000.0,455349.9285714286,San Blas,40.4439212,-3.5880239,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,141.0,1.0,1.0,0.0,4.223449898431282,0.0,0.0,1.0,3,Lujo Moderno (Full Equip)
415000.0,503750.0,San Blas,40.4221814,-3.6099084,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,81.0,1.0,1.0,0.0,4.223022984224928,0.0,1.0,0.0,4,Premium Reformado
3650000.0,2711931.214285714,Salamanca,40.4226,-3.68285,0.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.9053130747844542,0.0,0.0,6.0,0.0,0.0,1.0,1.0,160.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,0,Piso Señorial Clásico
